"id","phase","team","matches_played","wins","draws","losses","goals_for","goals_against","goal_difference","points","xg","xg_against","xg_difference","xg_difference_per_90"
1,F,France,7,5,1,1,16,8,8,16,13.8,10,3.7,0.53
2,F,Argentina,7,4,2,1,15,8,7,14,15.2,4.6,10.6,1.51
3,"3P",Morocco,7,3,2,2,6,5,1,11,6.6,7.4,-0.8,-0.12
4,"3P",Croatia,7,2,4,1,8,7,1,10,7,11,-4,-0.58
5,QF,Netherlands,5,3,2,0,10,4,6,11,4.6,6.1,-1.5,-0.29
6,QF,England,5,3,1,1,13,4,9,10,8.7,4,4.6,0.92
7,QF,Brazil,5,3,1,1,8,3,5,10,12,2,9.9,1.98
8,QF,Portugal,5,3,0,2,12,6,6,9,7.8,6.5,1.3,0.25
9,R16,Japan,4,2,1,1,5,4,1,7,5,5.7,-0.7,-0.17
10,R16,Australia,4,2,0,2,4,6,-2,6,2.3,7.2,-4.9,-1.23
11,R16,Senegal,4,2,0,2,5,7,-2,6,4.6,3.5,1,0.26
12,R16,Switzerland,4,2,0,2,5,9,-4,6,5.6,5.3,0.3,0.08
13,R16,Spain,4,1,2,1,9,3,6,5,6.2,3.4,2.7,0.68
15,R16,Poland,4,1,1,2,3,5,-2,4,4.5,7.3,-2.7,-0.69
16,R16,Korea Republic,4,1,1,2,5,8,-3,4,4.6,7.1,-2.5,-0.63
17,GR,Ecuador,3,1,1,1,4,3,1,4,3.7,2.6,1.2,0.39
18,GR,Germany,3,1,1,1,6,5,1,4,10.1,3.4,6.7,2.22
19,GR,Tunisia,3,1,1,1,1,1,0,4,2.3,2.8,-0.5,-0.17
20,GR,Cameroon,3,1,1,1,4,4,0,4,3.4,5.8,-2.3,-0.78
21,GR,Uruguay,3,1,1,1,2,2,0,4,3.7,3.5,0.1,0.05
22,GR,Mexico,3,1,1,1,2,3,-1,4,3.3,2.4,0.9,0.3
23,GR,Belgium,3,1,1,1,1,2,-1,4,4.7,4.6,0.2,0.05
24,GR,Ghana,3,1,0,2,5,7,-2,3,4.1,5.6,-1.4,-0.48
25,GR,Saudi Arabia,3,1,0,2,3,5,-2,3,3,6,-3,-1.01
26,GR,Iran,3,1,0,2,4,7,-3,3,3.2,4.2,-0.9,-0.32
27,GR,Costa Rica,3,1,0,2,3,11,-8,3,1.4,10.1,-8.7,-2.9
28,GR,Denmark,3,0,1,2,1,3,-2,1,2.7,3.9,-1.2,-0.39
29,GR,Serbia,3,0,1,2,5,8,-3,1,3.4,7.3,-3.9,-1.32
30,GR,Wales,3,0,1,2,1,6,-5,1,2.7,4.6,-1.9,-0.63
31,GR,Canada,3,0,0,3,2,7,-5,0,4.2,3.9,0.3,0.11
32,GR,Qatar,3,0,0,3,1,7,-6,0,1.4,3.5,-2.1,-0.71
14,R16,United States,4,1,2,1,3,4,-1,5,4.1,4.4,-0.3,-0.07
